town	comarca	territori	dialecte	notes
Garriguella	Alt Empordà	Catalunya	central	
Garrigàs	Alt Empordà	Catalunya	central	
Llançà	Alt Empordà	Catalunya	central	
Lledó d'Empordà	Alt Empordà	Catalunya	central	
Llers	Alt Empordà	Catalunya	central	
Masarac i Vilarnadal	Alt Empordà	Catalunya	central	
Maçanet de Cabrenys	Alt Empordà	Catalunya	central	
Mollet de Peralada	Alt Empordà	Catalunya	central	
Navata	Alt Empordà	Catalunya	central	
Ordis	Alt Empordà	Catalunya	central	
Palau de Santa Eulàlia	Alt Empordà	Catalunya	central	
Palau-saverdera	Alt Empordà	Catalunya	central	
Pau (Alt Empordà)	Alt Empordà	Catalunya	central	
Pedret i Marzà	Alt Empordà	Catalunya	central	
Peralada	Alt Empordà	Catalunya	central	
Pont de Molins	Alt Empordà	Catalunya	central	
Pontós	Alt Empordà	Catalunya	central	
Portbou	Alt Empordà	Catalunya	central	
Rabós	Alt Empordà	Catalunya	central	
Riumors	Alt Empordà	Catalunya	central	
Roses	Alt Empordà	Catalunya	central	
Sant Climent Sescebes	Alt Empordà	Catalunya	central	
Sant Llorenç de la Muga	Alt Empordà	Catalunya	central	
Sant Miquel de Fluvià	Alt Empordà	Catalunya	central	
Sant Mori	Alt Empordà	Catalunya	central	
Sant Pere Pescador	Alt Empordà	Catalunya	central	
Santa Llogaia d'Àlguema	Alt Empordà	Catalunya	central	
Saus, Camallera i Llampaies	Alt Empordà	Catalunya	central	
Siurana	Alt Empordà	Catalunya	central	
Terrades	Alt Empordà	Catalunya	central	
Torroella de Fluvià	Alt Empordà	Catalunya	central	
Ventalló	Alt Empordà	Catalunya	central	
Vila-sacra	Alt Empordà	Catalunya	central	
Vilabertran	Alt Empordà	Catalunya	central	
Viladamat	Alt Empordà	Catalunya	central	
Vilafant	Alt Empordà	Catalunya	central	
Vilajuïga	Alt Empordà	Catalunya	central	
Vilamacolum	Alt Empordà	Catalunya	central	
Vilamalla	Alt Empordà	Catalunya	central	
Vilamaniscle	Alt Empordà	Catalunya	central	
Vilanant	Alt Empordà	Catalunya	central	
Vilaür	Alt Empordà	Catalunya	central	
el Far d'Empordà	Alt Empordà	Catalunya	central	
el Port de la Selva	Alt Empordà	Catalunya	central	
l'Armentera	Alt Empordà	Catalunya	central	
l'Escala	Alt Empordà	Catalunya	central	
la Jonquera	Alt Empordà	Catalunya	central	
la Selva de Mar	Alt Empordà	Catalunya	central	
la Vajol	Alt Empordà	Catalunya	central	
Avinyonet del Penedès	Alt Penedès	Catalunya	central	
Castellet i la Gornal	Alt Penedès	Catalunya	central	
Castellví de la Marca	Alt Penedès	Catalunya	central	
Font-rubí	Alt Penedès	Catalunya	central	
Gelida	Alt Penedès	Catalunya	central	
Mediona	Alt Penedès	Catalunya	central	
Olesa de Bonesvalls	Alt Penedès	Catalunya	central	
Olèrdola	Alt Penedès	Catalunya	central	
Pacs del Penedès	Alt Penedès	Catalunya	central	
Pontons	Alt Penedès	Catalunya	central	
Puigdàlber	Alt Penedès	Catalunya	central	
Sant Cugat Sesgarrigues	Alt Penedès	Catalunya	central	
Sant Llorenç d'Hortons	Alt Penedès	Catalunya	central	
Sant Martí Sarroca	Alt Penedès	Catalunya	central	
Sant Pere de Riudebitlles	Alt Penedès	Catalunya	central	
Sant Quintí de Mediona	Alt Penedès	Catalunya	central	
Sant Sadurní d'Anoia	Alt Penedès	Catalunya	central	
Santa Fe del Penedès	Alt Penedès	Catalunya	central	
Santa Margarida i els Monjos	Alt Penedès	Catalunya	central	
Subirats	Alt Penedès	Catalunya	central	
Terrassola i Lavit	Alt Penedès	Catalunya	central	
Torrelles de Foix	Alt Penedès	Catalunya	central	
Vilafranca del Penedès	Alt Penedès	Catalunya	central	
Vilobí del Penedès	Alt Penedès	Catalunya	central	
el Pla del Penedès	Alt Penedès	Catalunya	central	
la Granada	Alt Penedès	Catalunya	central	
les Cabanyes	Alt Penedès	Catalunya	central	
Alàs i Cerc	Alt Urgell	Catalunya	northwestern	
Arsèguel	Alt Urgell	Catalunya	northwestern	
Bassella	Alt Urgell	Catalunya	northwestern	
Cabó	Alt Urgell	Catalunya	northwestern	
Cava (Alt Urgell)	Alt Urgell	Catalunya	northwestern	
Coll de Nargó	Alt Urgell	Catalunya	northwestern	
Estamariu	Alt Urgell	Catalunya	northwestern	
Fígols i Alinyà	Alt Urgell	Catalunya	northwestern	
Josa i Tuixén	Alt Urgell	Catalunya	northwestern	
Montferrer i Castellbò	Alt Urgell	Catalunya	northwestern	
Oliana	Alt Urgell	Catalunya	northwestern	
Organyà	Alt Urgell	Catalunya	northwestern	
Peramola	Alt Urgell	Catalunya	northwestern	
Ribera d'Urgellet	Alt Urgell	Catalunya	northwestern	
el Pont de Bar	Alt Urgell	Catalunya	northwestern	
la Seu d'Urgell	Alt Urgell	Catalunya	northwestern	
la Vansa i Fórnols	Alt Urgell	Catalunya	northwestern	
les Valls d'Aguilar	Alt Urgell	Catalunya	northwestern	
les Valls de Valira	Alt Urgell	Catalunya	northwestern	
Vilaller	Alta Ribagorça	Catalunya	northwestern	
el Pont de Suert	Alta Ribagorça	Catalunya	northwestern	
la Vall de Boí	Alta Ribagorça	Catalunya	northwestern	
Argençola	Anoia	Catalunya	central	
Bellprat	Anoia	Catalunya	central	
Cabrera d'Anoia	Anoia	Catalunya	central	
Calaf	Anoia	Catalunya	central	
Calonge de Segarra	Anoia	Catalunya	central	
Capellades	Anoia	Catalunya	central	
Carme	Anoia	Catalunya	central	
Castellfollit de Riubregós	Anoia	Catalunya	central	
Castellolí	Anoia	Catalunya	central	
Copons	Anoia	Catalunya	central	
Igualada	Anoia	Catalunya	central	
Jorba	Anoia	Catalunya	central	
Masquefa	Anoia	Catalunya	central	
Montmaneu	Anoia	Catalunya	central	
Orpí	Anoia	Catalunya	central	
Piera	Anoia	Catalunya	central	
Pujalt	Anoia	Catalunya	central	
Rubió	Anoia	Catalunya	central	
Sant Martí Sesgueioles	Anoia	Catalunya	central	
Sant Martí de Tous	Anoia	Catalunya	central	
Sant Pere Sallavinera	Anoia	Catalunya	central	
Santa Margarida de Montbui	Anoia	Catalunya	central	
Santa Maria de Miralles	Anoia	Catalunya	central	
Vallbona d'Anoia	Anoia	Catalunya	central	
Veciana	Anoia	Catalunya	central	
Vilanova del Camí	Anoia	Catalunya	central	
el Bruc	Anoia	Catalunya	central	
els Hostalets de Pierola	Anoia	Catalunya	central	
els Prats de Rei	Anoia	Catalunya	central	
la Llacuna	Anoia	Catalunya	central	
la Pobla de Claramunt	Anoia	Catalunya	central	
la Torre de Claramunt	Anoia	Catalunya	central	
Òdena	Anoia	Catalunya	central	
Aguilar de Segarra	Bages	Catalunya	central	
Artés	Bages	Catalunya	central	
Avinyó	Bages	Catalunya	central	
Balsareny	Bages	Catalunya	central	
Callús	Bages	Catalunya	central	
Cardona	Bages	Catalunya	central	
Castellbell i el Vilar	Bages	Catalunya	central	
Castellfollit del Boix	Bages	Catalunya	central	
Castellgalí	Bages	Catalunya	central	
Castellnou de Bages	Bages	Catalunya	central	
Fonollosa	Bages	Catalunya	central	
Gaià	Bages	Catalunya	central	
Manresa	Bages	Catalunya	central	
Marganell	Bages	Catalunya	central	
Monistrol de Montserrat	Bages	Catalunya	central	
Mura	Bages	Catalunya	central	
Navarcles	Bages	Catalunya	central	
Navars	Bages	Catalunya	central	
Rajadell	Bages	Catalunya	central	
Sallent	Bages	Catalunya	central	
Sant Feliu Sasserra	Bages	Catalunya	central	
Sant Fruitós de Bages	Bages	Catalunya	central	
Sant Joan de Vilatorrada	Bages	Catalunya	central	
Sant Mateu de Bages	Bages	Catalunya	central	
Sant Salvador de Guardiola	Bages	Catalunya	central	
Sant Vicenç de Castellet	Bages	Catalunya	central	
Santpedor	Bages	Catalunya	central	
Súria	Bages	Catalunya	central	
Talamanca	Bages	Catalunya	central	
el Pont de Vilomara i Rocafort	Bages	Catalunya	central	
Alforja	Baix Camp	Catalunya	central	
Almoster	Baix Camp	Catalunya	central	
Arbolí	Baix Camp	Catalunya	central	
Botarell	Baix Camp	Catalunya	central	
Cambrils	Baix Camp	Catalunya	central	
Capafonts	Baix Camp	Catalunya	central	
Castellvell del Camp	Baix Camp	Catalunya	central	
Colldejou	Baix Camp	Catalunya	central	
Duesaigües	Baix Camp	Catalunya	central	
Maspujols	Baix Camp	Catalunya	central	
Mont-roig del Camp	Baix Camp	Catalunya	central	
Montbrió del Camp	Baix Camp	Catalunya	central	
Prades	Baix Camp	Catalunya	central	
Pratdip	Baix Camp	Catalunya	central	
Reus	Baix Camp	Catalunya	central	
Riudecanyes	Baix Camp	Catalunya	central	
Riudecols	Baix Camp	Catalunya	central	
Riudoms	Baix Camp	Catalunya	central	
Vandellòs i l'Hospitalet de l'Infant	Baix Camp	Catalunya	central	
Vilanova d'Escornalbou	Baix Camp	Catalunya	central	
Vilaplana (Baix Camp)	Baix Camp	Catalunya	central	
Vinyols i els Arcs	Baix Camp	Catalunya	central	
l'Albiol	Baix Camp	Catalunya	central	
l'Aleixar	Baix Camp	Catalunya	central	
l'Argentera	Baix Camp	Catalunya	central	
la Febró	Baix Camp	Catalunya	central	
la Selva del Camp	Baix Camp	Catalunya	central	
les Borges del Camp	Baix Camp	Catalunya	central	
Aldover	Baix Ebre	Catalunya	northwestern	
Alfara de Carles	Baix Ebre	Catalunya	northwestern	
Benifallet	Baix Ebre	Catalunya	northwestern	
Camarles	Baix Ebre	Catalunya	northwestern	
Deltebre	Baix Ebre	Catalunya	northwestern	
Paüls	Baix Ebre	Catalunya	northwestern	
Roquetes	Baix Ebre	Catalunya	northwestern	
Tivenys	Baix Ebre	Catalunya	northwestern	
Tortosa	Baix Ebre	Catalunya	northwestern	
Xerta	Baix Ebre	Catalunya	northwestern	
el Perelló	Baix Ebre	Catalunya	northwestern	
l'Aldea	Baix Ebre	Catalunya	northwestern	
l'Ametlla de Mar	Baix Ebre	Catalunya	northwestern	
l'Ampolla	Baix Ebre	Catalunya	northwestern	
Albons	Baix Empordà	Catalunya	central	
Begur	Baix Empordà	Catalunya	central	
Bellcaire d'Empordà	Baix Empordà	Catalunya	central	
Calonge i Sant Antoni	Baix Empordà	Catalunya	central	
Castell d'Aro, Platja d'Aro i s'Agaró	Baix Empordà	Catalunya	central	
Colomers	Baix Empordà	Catalunya	central	
Corçà	Baix Empordà	Catalunya	central	
Cruïlles, Monells i Sant Sadurní de l'Heura	Baix Empordà	Catalunya	central	
Foixà	Baix Empordà	Catalunya	central	
Fontanilles	Baix Empordà	Catalunya	central	
Garrigoles	Baix Empordà	Catalunya	central	
Gualta	Baix Empordà	Catalunya	central	
Jafre	Baix Empordà	Catalunya	central	
Mont-ras	Baix Empordà	Catalunya	central	
Palafrugell	Baix Empordà	Catalunya	central	
Palamós	Baix Empordà	Catalunya	central	
Palau-sator	Baix Empordà	Catalunya	central	
Pals	Baix Empordà	Catalunya	central	
Parlavà	Baix Empordà	Catalunya	central	
Regencós	Baix Empordà	Catalunya	central	
Rupià	Baix Empordà	Catalunya	central	
Sant Feliu de Guíxols	Baix Empordà	Catalunya	central	
Santa Cristina d'Aro	Baix Empordà	Catalunya	central	
Serra de Daró	Baix Empordà	Catalunya	central	
Torrent (Baix Empordà)	Baix Empordà	Catalunya	central	
Torroella de Montgrí	Baix Empordà	Catalunya	central	
Ullastret	Baix Empordà	Catalunya	central	
Ullà	Baix Empordà	Catalunya	central	
Ultramort	Baix Empordà	Catalunya	central	
Vall-llobrega	Baix Empordà	Catalunya	central	
Verges	Baix Empordà	Catalunya	central	
Vilopriu	Baix Empordà	Catalunya	central	
Vulpellac, Fonteta i Peratallada	Baix Empordà	Catalunya	central	
la Bisbal d'Empordà	Baix Empordà	Catalunya	central	
la Pera	Baix Empordà	Catalunya	central	
la Tallada d'Empordà	Baix Empordà	Catalunya	central	
Abrera	Baix Llobregat	Catalunya	central	
Begues	Baix Llobregat	Catalunya	central	
Castelldefels	Baix Llobregat	Catalunya	central	
Castellví de Rosanes	Baix Llobregat	Catalunya	central	
Cervelló	Baix Llobregat	Catalunya	central	
Collbató	Baix Llobregat	Catalunya	central	
Corbera de Llobregat	Baix Llobregat	Catalunya	central	
Cornellà de Llobregat	Baix Llobregat	Catalunya	central	
Esparreguera	Baix Llobregat	Catalunya	central	
Esplugues de Llobregat	Baix Llobregat	Catalunya	central	
Gavà	Baix Llobregat	Catalunya	central	
Martorell	Baix Llobregat	Catalunya	central	
Molins de Rei	Baix Llobregat	Catalunya	central	
Olesa de Montserrat	Baix Llobregat	Catalunya	central	
Pallejà	Baix Llobregat	Catalunya	central	
Sant Andreu de la Barca	Baix Llobregat	Catalunya	central	
Sant Boi de Llobregat	Baix Llobregat	Catalunya	central	
Sant Climent de Llobregat	Baix Llobregat	Catalunya	central	
Sant Esteve Sesrovires	Baix Llobregat	Catalunya	central	
Sant Feliu de Llobregat	Baix Llobregat	Catalunya	central	
Sant Joan Despí	Baix Llobregat	Catalunya	central	
Sant Just Desvern	Baix Llobregat	Catalunya	central	
Sant Vicenç dels Horts	Baix Llobregat	Catalunya	central	
Santa Coloma de Cervelló	Baix Llobregat	Catalunya	central	
Torrelles de Llobregat	Baix Llobregat	Catalunya	central	
Vallirana	Baix Llobregat	Catalunya	central	
Viladecans	Baix Llobregat	Catalunya	central	
el Papiol	Baix Llobregat	Catalunya	central	
el Prat de Llobregat	Baix Llobregat	Catalunya	central	
la Palma de Cervelló	Baix Llobregat	Catalunya	central	
Albinyana	Baix Penedès	Catalunya	central	
Banyeres del Penedès	Baix Penedès	Catalunya	central	
Bellvei	Baix Penedès	Catalunya	central	
Bonastre	Baix Penedès	Catalunya	central	
Calafell	Baix Penedès	Catalunya	central	
Cunit	Baix Penedès	Catalunya	central	
Llorenç del Penedès	Baix Penedès	Catalunya	central	
Masllorenç	Baix Penedès	Catalunya	central	
Sant Jaume dels Domenys	Baix Penedès	Catalunya	central	
Santa Oliva	Baix Penedès	Catalunya	central	
el Montmell	Baix Penedès	Catalunya	central	
el Vendrell	Baix Penedès	Catalunya	central	
l'Arboç	Baix Penedès	Catalunya	central	
la Bisbal del Penedès	Baix Penedès	Catalunya	central	
Alp	Baixa Cerdanya	Catalunya	central	
Bellver de Cerdanya	Baixa Cerdanya	Catalunya	central	
Bolvir	Baixa Cerdanya	Catalunya	central	
Das	Baixa Cerdanya	Catalunya	central	
Fontanals de Cerdanya	Baixa Cerdanya	Catalunya	central	
Ger	Baixa Cerdanya	Catalunya	central	
Guils de Cerdanya	Baixa Cerdanya	Catalunya	central	
Isòvol	Baixa Cerdanya	Catalunya	central	
Lles de Cerdanya	Baixa Cerdanya	Catalunya	central	
Llívia	Baixa Cerdanya	Catalunya	central	
Meranges	Baixa Cerdanya	Catalunya	central	
Montellà i Martinet	Baixa Cerdanya	Catalunya	central	
Prats i Sansor	Baixa Cerdanya	Catalunya	central	
Prullans	Baixa Cerdanya	Catalunya	central	
Puigcerdà	Baixa Cerdanya	Catalunya	central	
Riu de Cerdanya	Baixa Cerdanya	Catalunya	central	
Urús	Baixa Cerdanya	Catalunya	central	
Badalona	Barcelonès	Catalunya	central	
Barcelona	Barcelonès	Catalunya	central	
Sant Adrià de Besòs	Barcelonès	Catalunya	central	
Santa Coloma de Gramenet	Barcelonès	Catalunya	central	
l'Hospitalet de Llobregat	Barcelonès	Catalunya	central	
Avià	Berguedà	Catalunya	central	
Bagà	Berguedà	Catalunya	central	
Berga	Berguedà	Catalunya	central	
Borredà	Berguedà	Catalunya	central	
Capolat	Berguedà	Catalunya	central	
Casserres	Berguedà	Catalunya	central	
Castell de l'Areny	Berguedà	Catalunya	central	
Castellar de n'Hug	Berguedà	Catalunya	central	
Castellar del Riu	Berguedà	Catalunya	central	
Cercs	Berguedà	Catalunya	central	
Fígols	Berguedà	Catalunya	central	
Gironella	Berguedà	Catalunya	central	
Gisclareny	Berguedà	Catalunya	central	
Guardiola de Berguedà	Berguedà	Catalunya	central	
Gósol	Berguedà	Catalunya	central	
Montclar	Berguedà	Catalunya	central	
Montmajor	Berguedà	Catalunya	central	
Olvan	Berguedà	Catalunya	central	
Puig-reig	Berguedà	Catalunya	central	
Sagàs	Berguedà	Catalunya	central	
Saldes	Berguedà	Catalunya	central	
Sant Jaume de Frontanyà	Berguedà	Catalunya	central	
Sant Julià de Cerdanyola	Berguedà	Catalunya	central	
Santa Maria de Merlès	Berguedà	Catalunya	central	
Vallcebre	Berguedà	Catalunya	central	
Vilada	Berguedà	Catalunya	central	
Viver i Serrateix	Berguedà	Catalunya	central	
l'Espunyola	Berguedà	Catalunya	central	
la Nou de Berguedà	Berguedà	Catalunya	central	
la Pobla de Lillet	Berguedà	Catalunya	central	
la Quar	Berguedà	Catalunya	central	
Barberà de la Conca	Conca de Barberà	Catalunya	central	
Blancafort	Conca de Barberà	Catalunya	central	
Conesa	Conca de Barberà	Catalunya	central	
Forès	Conca de Barberà	Catalunya	central	
Llorac	Conca de Barberà	Catalunya	central	
Montblanc	Conca de Barberà	Catalunya	central	
Passanant i Belltall	Conca de Barberà	Catalunya	central	
Pira	Conca de Barberà	Catalunya	central	
Pontils	Conca de Barberà	Catalunya	central	
Rocafort de Queralt	Conca de Barberà	Catalunya	central	
Santa Coloma de Queralt	Conca de Barberà	Catalunya	central	
Sarral	Conca de Barberà	Catalunya	central	
Savallà del Comtat	Conca de Barberà	Catalunya	central	
Senan	Conca de Barberà	Catalunya	central	
Solivella	Conca de Barberà	Catalunya	central	
Vallclara	Conca de Barberà	Catalunya	central	
Vallfogona de Riucorb	Conca de Barberà	Catalunya	central	
Vilanova de Prades	Conca de Barberà	Catalunya	central	
Vilaverd	Conca de Barberà	Catalunya	central	
Vimbodí i Poblet	Conca de Barberà	Catalunya	central	
l'Espluga de Francolí	Conca de Barberà	Catalunya	central	
les Piles	Conca de Barberà	Catalunya	central	
Canyelles	Garraf	Catalunya	central	
Cubelles	Garraf	Catalunya	central	
Olivella	Garraf	Catalunya	central	
Sant Pere de Ribes	Garraf	Catalunya	central	
Sitges	Garraf	Catalunya	central	
Vilanova i la Geltrú	Garraf	Catalunya	central	
Arbeca	Garrigues	Catalunya	northwestern	
Bellaguarda	Garrigues	Catalunya	northwestern	
Bovera	Garrigues	Catalunya	northwestern	
Castelldans	Garrigues	Catalunya	northwestern	
Cervià de les Garrigues	Garrigues	Catalunya	northwestern	
Fulleda	Garrigues	Catalunya	northwestern	
Granyena de les Garrigues	Garrigues	Catalunya	northwestern	
Juncosa	Garrigues	Catalunya	northwestern	
Juneda	Garrigues	Catalunya	northwestern	
Puiggròs	Garrigues	Catalunya	northwestern	
Tarrés	Garrigues	Catalunya	northwestern	
Vinaixa	Garrigues	Catalunya	northwestern	
el Cogul	Garrigues	Catalunya	northwestern	
el Soleràs	Garrigues	Catalunya	northwestern	
el Vilosell	Garrigues	Catalunya	northwestern	
els Omellons	Garrigues	Catalunya	northwestern	
els Torms	Garrigues	Catalunya	northwestern	
l'Albagés	Garrigues	Catalunya	northwestern	
l'Albi	Garrigues	Catalunya	northwestern	
l'Espluga Calba	Garrigues	Catalunya	northwestern	
la Floresta	Garrigues	Catalunya	northwestern	
la Granadella	Garrigues	Catalunya	northwestern	
la Pobla de Cérvoles	Garrigues	Catalunya	northwestern	
les Borges Blanques	Garrigues	Catalunya	northwestern	
Argelaguer	Garrotxa	Catalunya	central	
Besalú	Garrotxa	Catalunya	central	
Beuda	Garrotxa	Catalunya	central	
Castellfollit de la Roca	Garrotxa	Catalunya	central	
Maià de Montcal	Garrotxa	Catalunya	central	
Mieres	Garrotxa	Catalunya	central	
Montagut i Oix	Garrotxa	Catalunya	central	
Olot	Garrotxa	Catalunya	central	
Riudaura	Garrotxa	Catalunya	central	
Sales de Llierca	Garrotxa	Catalunya	central	
Sant Aniol de Finestres	Garrotxa	Catalunya	central	
Sant Feliu de Pallerols	Garrotxa	Catalunya	central	
Sant Ferriol	Garrotxa	Catalunya	central	
Sant Jaume de Llierca	Garrotxa	Catalunya	central	
Sant Joan les Fonts	Garrotxa	Catalunya	central	
Santa Pau	Garrotxa	Catalunya	central	
Tortellà	Garrotxa	Catalunya	central	
la Vall d'en Bas	Garrotxa	Catalunya	central	
la Vall de Bianya	Garrotxa	Catalunya	central	
les Planes d'Hostoles	Garrotxa	Catalunya	central	
les Preses	Garrotxa	Catalunya	central	
Aiguaviva	Gironès	Catalunya	central	
Bescanó	Gironès	Catalunya	central	
Bordils	Gironès	Catalunya	central	
Campllong	Gironès	Catalunya	central	
Canet d'Adri	Gironès	Catalunya	central	
Cassà de la Selva	Gironès	Catalunya	central	
Celrà	Gironès	Catalunya	central	
Cervià de Ter	Gironès	Catalunya	central	
Flaçà	Gironès	Catalunya	central	
Fornells de la Selva	Gironès	Catalunya	central	
Girona	Gironès	Catalunya	central	
Juià	Gironès	Catalunya	central	
Llagostera	Gironès	Catalunya	central	
Llambilles	Gironès	Catalunya	central	
Madremanya	Gironès	Catalunya	central	
Quart	Gironès	Catalunya	central	
Salt	Gironès	Catalunya	central	
Sant Andreu Salou	Gironès	Catalunya	central	
Sant Gregori	Gironès	Catalunya	central	
Sant Joan de Mollet	Gironès	Catalunya	central	
Sant Jordi Desvalls	Gironès	Catalunya	central	
Sant Julià de Ramis	Gironès	Catalunya	central	
Sant Martí Vell	Gironès	Catalunya	central	
Sant Martí de Llémena	Gironès	Catalunya	central	
Sarrià de Ter	Gironès	Catalunya	central	
Vilablareix	Gironès	Catalunya	central	
Viladasens	Gironès	Catalunya	central	
Alpens	Lluçanès	Catalunya	central	
Lluçà	Lluçanès	Catalunya	central	
Olost	Lluçanès	Catalunya	central	
Oristà	Lluçanès	Catalunya	central	
Perafita	Lluçanès	Catalunya	central	
Prats de Lluçanès	Lluçanès	Catalunya	central	
Sant Martí d'Albars	Lluçanès	Catalunya	central	
Sobremunt	Lluçanès	Catalunya	central	
Alella	Maresme	Catalunya	central	
Arenys de Mar	Maresme	Catalunya	central	
Arenys de Munt	Maresme	Catalunya	central	
Argentona	Maresme	Catalunya	central	
Cabrera de Mar	Maresme	Catalunya	central	
Cabrils	Maresme	Catalunya	central	
Caldes d'Estrac	Maresme	Catalunya	central	
Calella	Maresme	Catalunya	central	
Canet de Mar	Maresme	Catalunya	central	
Dosrius	Maresme	Catalunya	central	
Malgrat de Mar	Maresme	Catalunya	central	
Mataró	Maresme	Catalunya	central	
Montgat	Maresme	Catalunya	central	
Palafolls	Maresme	Catalunya	central	
Pineda de Mar	Maresme	Catalunya	central	
Premià de Dalt	Maresme	Catalunya	central	
Premià de Mar	Maresme	Catalunya	central	
Sant Andreu de Llavaneres	Maresme	Catalunya	central	
Sant Cebrià de Vallalta	Maresme	Catalunya	central	
Sant Iscle de Vallalta	Maresme	Catalunya	central	
Sant Pol de Mar	Maresme	Catalunya	central	
Sant Vicenç de Montalt	Maresme	Catalunya	central	
Santa Susanna	Maresme	Catalunya	central	
Teià	Maresme	Catalunya	central	
Tiana	Maresme	Catalunya	central	
Tordera	Maresme	Catalunya	central	
Vilassar de Dalt	Maresme	Catalunya	central	
Vilassar de Mar	Maresme	Catalunya	central	
el Masnou	Maresme	Catalunya	central	
Òrrius	Maresme	Catalunya	central	
Calders	Moianès	Catalunya	central	
Castellcir	Moianès	Catalunya	central	
Castellterçol	Moianès	Catalunya	central	
Collsuspina	Moianès	Catalunya	central	
Granera	Moianès	Catalunya	central	
Moià	Moianès	Catalunya	central	
Monistrol de Calders	Moianès	Catalunya	central	
Sant Quirze Safaja	Moianès	Catalunya	central	
Santa Maria d'Oló	Moianès	Catalunya	central	
l'Estany	Moianès	Catalunya	central	
Alcanar	Montsià	Catalunya	northwestern	
Amposta	Montsià	Catalunya	northwestern	
Freginals	Montsià	Catalunya	northwestern	
Godall	Montsià	Catalunya	northwestern	
La Ràpita (Montsià)	Montsià	Catalunya	northwestern	
Mas de Barberans	Montsià	Catalunya	northwestern	
Masdenverge	Montsià	Catalunya	northwestern	
Sant Jaume d'Enveja	Montsià	Catalunya	northwestern	
Santa Bàrbara	Montsià	Catalunya	northwestern	
Ulldecona	Montsià	Catalunya	northwestern	
la Galera	Montsià	Catalunya	northwestern	
la Sénia	Montsià	Catalunya	northwestern	
Albesa	Noguera	Catalunya	northwestern	
Algerri	Noguera	Catalunya	northwestern	
Alòs de Balaguer	Noguera	Catalunya	northwestern	
Artesa de Segre	Noguera	Catalunya	northwestern	
Balaguer	Noguera	Catalunya	northwestern	
Bellcaire d'Urgell	Noguera	Catalunya	northwestern	
Bellmunt d'Urgell	Noguera	Catalunya	northwestern	
Cabanabona	Noguera	Catalunya	northwestern	
Camarasa	Noguera	Catalunya	northwestern	
Castelló de Farfanya	Noguera	Catalunya	northwestern	
Cubells	Noguera	Catalunya	northwestern	
Foradada	Noguera	Catalunya	northwestern	
Ivars de Noguera	Noguera	Catalunya	northwestern	
Menàrguens	Noguera	Catalunya	northwestern	
Montgai	Noguera	Catalunya	northwestern	
Oliola	Noguera	Catalunya	northwestern	
Os de Balaguer	Noguera	Catalunya	northwestern	
Penelles	Noguera	Catalunya	northwestern	
Ponts	Noguera	Catalunya	northwestern	
Preixens	Noguera	Catalunya	northwestern	
Tiurana	Noguera	Catalunya	northwestern	
Torrelameu	Noguera	Catalunya	northwestern	
Térmens	Noguera	Catalunya	northwestern	
